bdew_code,market_function,role_code,company_uid,company_name,company_id,code_row_id
3701216100016,Bilanzkreisverantwortlicher,BKV,664324,BCM Energy,23354,29351
3808002002575,Bilanzkreisverantwortlicher,BKV,668963,SolarPeak Ltd.,60744,66343
4007633000007,Einsatzverantwortlicher,EIV,665966,Heibi-Metall Birmann GmbH,57738,62140
4008452000001,Netznutzer ohne All-Inklusiv-Vertrag,NN,663451,Molkerei Weihenstephan GmbH & Co. KG,4573,8735
4012499000009,Betreiber einer technischen Ressource,BTR,666916,STERN-Waschmittel GmbH,58688,63792
4012767000007,Netznutzer ohne All-Inklusiv-Vertrag,NN,663628,Deutsche Steinzeug Cremer & Breuer Aktiengesellschaft,8709,12930
4013213000008,Einsatzverantwortlicher,EIV,667642,Feinkost Reich GmbH,59414,64917
4018655000005,Einsatzverantwortlicher,EIV,665764,Erich Scheerer GmbH,57536,61788
4025500000004,Netznutzer ohne All-Inklusiv-Vertrag,NN,663452,Molkerei Alois Müller GmbH & Co. KG,4574,8736
4025500001162,Netznutzer ohne All-Inklusiv-Vertrag,NN,669101,Landliebe GmbH,60882,66489
4033871000103,Bilanzkreisverantwortlicher,BKV,660930,Uniper Global Commodities SE,1033,1743
4033871000202,Lieferant,LF,660930,Uniper Global Commodities SE,1033,1744
4033872000010,Netzbetreiber,NB,662521,TenneT TSO GmbH,2634,6002
4033872000027,Bilanzkoordinator,BIKO,662521,TenneT TSO GmbH,2634,5998
4033872000034,Bilanzkreisverantwortlicher,BKV,662521,TenneT TSO GmbH,2634,5999
4033872000041,Lieferant,LF,662521,TenneT TSO GmbH,2634,6001
4033872000058,Übertragungsnetzbetreiber,ÜNB,662521,TenneT TSO GmbH,2634,6000
4033872000065,Messstellenbetreiber,MSB,662521,TenneT TSO GmbH,2634,6003
4035588000001,Einsatzverantwortlicher,EIV,662671,Wacker Chemie AG,2785,6303
4036155000004,Netznutzer ohne All-Inklusiv-Vertrag,NN,663453,HOMANN Feinkost GmbH,4575,8738
4037908000005,Netznutzer ohne All-Inklusiv-Vertrag,NN,669174,ARYZTA Bakeries Deutschland GmbH,60955,66541
4038777000004,Lieferant,LF,660928,Uniper Energy Sales GmbH,1031,1740
4038777000103,Bilanzkreisverantwortlicher,BKV,660928,Uniper Energy Sales GmbH,1031,1739
4041095000007,Betreiber einer technischen Ressource,BTR,666602,Richard Leipold GmbH,58374,63263
4041404000001,Bilanzkreisverantwortlicher,BKV,660017,EnBW Energie Baden-Württemberg AG,72,1011
4041404000032,Einsatzverantwortlicher,EIV,660017,EnBW Energie Baden-Württemberg AG,72,1015
4041404000049,Betreiber einer technischen Ressource,BTR,660017,EnBW Energie Baden-Württemberg AG,72,61421
4041407000008,Netzbetreiber,NB,661569,Netze BW GmbH,1675,3119
4041408000007,Lieferant,LF,662748,Yello Strom GmbH,2863,6439
4041409000006,Lieferant,LF,660017,EnBW Energie Baden-Württemberg AG,72,1013
4042805000102,Netzbetreiber,NB,661496,Mitteldeutsche Netzgesellschaft Strom mbH,1602,2989
4042805000409,Lieferant,LF,660828,envia Mitteldeutsche Energie AG,930,1503
4042805000508,Bilanzkreisverantwortlicher,BKV,660828,envia Mitteldeutsche Energie AG,930,1504
4042805000706,Messstellenbetreiber,MSB,661496,Mitteldeutsche Netzgesellschaft Strom mbH,1602,2990
4042805001208,Netzbetreiber,NB,662645,Verteilnetz Plauen GmbH,2759,6254
